,game_date,game_id,game_type,league_id,league_name,level,team,team_id,opp,away_team,home_team,venue,player_id,W,L,G,GS,CG,SHO,SV,HLD,BFP,IP,H,ER,R,HR,SO,BB,IBB,HBP,WP,QS,Player,team_abbrev,opp_abbrev,home_team_abbrev,away_team_abbrev,affiliate,DKPts,game_year
343676,2025-02-20,778869,S,1,Major League Baseball,MLB,Chicago Cubs,112,Los Angeles Dodgers,Chicago Cubs,Los Angeles Dodgers,Camelback Ranch,681145,0,0,1,0,0,0,0,0,3,1.0,1,0,0,0,1,0,0,0,0,0,Cayne Ueckert,CHC,LAD,LAD,CHC,CHC,3.65,2025
343677,2025-02-20,778869,S,1,Major League Baseball,MLB,Chicago Cubs,112,Los Angeles Dodgers,Chicago Cubs,Los Angeles Dodgers,Camelback Ranch,680891,0,0,1,0,0,0,0,0,3,1.0,0,0,0,0,2,0,0,0,0,0,Jack Neely,CHC,LAD,LAD,CHC,CHC,6.25,2025
343678,2025-02-20,778869,S,1,Major League Baseball,MLB,Chicago Cubs,112,Los Angeles Dodgers,Chicago Cubs,Los Angeles Dodgers,Camelback Ranch,641745,0,0,1,0,0,0,0,1,7,1.67,2,0,0,0,2,1,0,0,0,0,Brad Keller,CHC,LAD,LAD,CHC,CHC,5.9575000000000005,2025
343679,2025-02-20,778869,S,1,Major League Baseball,MLB,Chicago Cubs,112,Los Angeles Dodgers,Chicago Cubs,Los Angeles Dodgers,Camelback Ranch,694037,0,0,1,0,0,0,0,0,4,1.0,0,0,0,0,1,1,0,0,0,0,Daniel Palencia,CHC,LAD,LAD,CHC,CHC,3.65,2025
343680,2025-02-20,778869,S,1,Major League Baseball,MLB,Chicago Cubs,112,Los Angeles Dodgers,Chicago Cubs,Los Angeles Dodgers,Camelback Ranch,621139,0,0,1,0,0,0,0,0,4,1.0,0,0,0,0,2,1,0,0,0,0,Brooks Kriske,CHC,LAD,LAD,CHC,CHC,5.65,2025
343681,2025-02-20,778869,S,1,Major League Baseball,MLB,Chicago Cubs,112,Los Angeles Dodgers,Chicago Cubs,Los Angeles Dodgers,Camelback Ranch,669639,0,0,1,0,0,0,0,1,1,0.33,0,0,0,0,1,0,0,0,0,0,Nolan Clenney,CHC,LAD,LAD,CHC,CHC,2.7425,2025
343682,2025-02-20,778869,S,1,Major League Baseball,MLB,Chicago Cubs,112,Los Angeles Dodgers,Chicago Cubs,Los Angeles Dodgers,Camelback Ranch,547001,0,0,1,1,0,0,0,0,9,1.33,3,3,3,1,1,2,0,1,1,0,Cody Poteet,CHC,LAD,LAD,CHC,CHC,-4.0075,2025
343683,2025-02-20,778869,S,1,Major League Baseball,MLB,Chicago Cubs,112,Los Angeles Dodgers,Chicago Cubs,Los Angeles Dodgers,Camelback Ranch,684949,1,0,1,0,0,0,0,0,1,0.67,0,0,0,0,0,0,0,0,0,0,Zac Leigh,CHC,LAD,LAD,CHC,CHC,5.5075,2025
343684,2025-02-20,778869,S,1,Major League Baseball,MLB,Chicago Cubs,112,Los Angeles Dodgers,Chicago Cubs,Los Angeles Dodgers,Camelback Ranch,700794,0,0,1,0,0,0,0,0,6,1.0,1,1,1,0,1,2,0,0,0,0,Frankie Scalzo Jr.,CHC,LAD,LAD,CHC,CHC,0.44999999999999996,2025
343685,2025-02-20,778869,S,1,Major League Baseball,MLB,Los Angeles Dodgers,119,Chicago Cubs,Chicago Cubs,Los Angeles Dodgers,Camelback Ranch,676272,0,0,1,0,0,0,0,0,2,0.0,1,2,2,0,0,1,0,0,0,0,Bobby Miller,LAD,CHC,LAD,CHC,LAD,-5.199999999999999,2025
343686,2025-02-20,778869,S,1,Major League Baseball,MLB,Los Angeles Dodgers,119,Chicago Cubs,Chicago Cubs,Los Angeles Dodgers,Camelback Ranch,680691,0,1,1,0,0,0,0,0,8,1.0,3,4,4,0,2,2,0,0,0,0,Justin Jarvis,LAD,CHC,LAD,CHC,LAD,-4.75,2025
343687,2025-02-20,778869,S,1,Major League Baseball,MLB,Los Angeles Dodgers,119,Chicago Cubs,Chicago Cubs,Los Angeles Dodgers,Camelback Ranch,690922,0,0,1,0,0,0,0,0,1,0.33,0,0,0,0,0,0,0,0,0,0,Ryan Sublette,LAD,CHC,LAD,CHC,LAD,0.7425,2025
343688,2025-02-20,778869,S,1,Major League Baseball,MLB,Los Angeles Dodgers,119,Chicago Cubs,Chicago Cubs,Los Angeles Dodgers,Camelback Ranch,672277,0,0,1,0,0,0,0,0,6,1.0,1,0,0,0,1,2,0,0,0,0,Sam Carlson,LAD,CHC,LAD,CHC,LAD,2.45,2025
